| Error PID;-5,66; Integral;-5,66;55,66; Wyjœcie PID;0
| Error PID;-5,66; Integral;-11,311;55,66; Wyjœcie PID;0
| Error PID;-5,66; Integral;-16,972;55,66; Wyjœcie PID;0
| Error PID;-6,11; Integral;-23,093;56,11; Wyjœcie PID;0
| Error PID;-5,66; Integral;-28,744;55,66; Wyjœcie PID;0
| Error PID;-5,66; Integral;-34,405;55,66; Wyjœcie PID;0
| Error PID;-5,51; Integral;-39,916;55,51; Wyjœcie PID;0
| Error PID;-4,91; Integral;-44,817;54,91; Wyjœcie PID;0
| Error PID;-4,46; Integral;-49,288;54,46; Wyjœcie PID;0
| Error PID;-4,32; Integral;-53,599;54,32; Wyjœcie PID;0
| Error PID;-4,02; Integral;-57,621;54,02; Wyjœcie PID;0
| Error PID;-3,73; Integral;-61,3511;53,73; Wyjœcie PID;0
| Error PID;-3,16; Integral;-64,5112;53,16; Wyjœcie PID;0
| Error PID;-2,32; Integral;-66,8313;52,32; Wyjœcie PID;0
| Error PID;-2,18; Integral;-69,0014;52,18; Wyjœcie PID;0
| Error PID;-1,9; Integral;-70,9015;51,9; Wyjœcie PID;0
| Error PID;-1,62; Integral;-72,5316;51,62; Wyjœcie PID;0
| Error PID;-1,08; Integral;-73,6117;51,08; Wyjœcie PID;0
| Error PID;-0,01; Integral;-73,6218;50,01; Wyjœcie PID;0
| Error PID;-0,01; Integral;-73,6319;50,01; Wyjœcie PID;0
| Error PID;0,12; Integral;-73,512;49,88; Wyjœcie PID;0
| Error PID;0,77; Integral;-72,7421;49,23; Wyjœcie PID;0
| Error PID;0,9; Integral;-71,8422;49,1; Wyjœcie PID;0
| Error PID;1,54; Integral;-70,3023;48,46; Wyjœcie PID;0
| Error PID;2,05; Integral;-68,2624;47,95; Wyjœcie PID;0
| Error PID;2,3; Integral;-65,9625;47,7; Wyjœcie PID;0
| Error PID;2,42; Integral;-63,5426;47,58; Wyjœcie PID;0
| Error PID;2,79; Integral;-60,7527;47,21; Wyjœcie PID;0
| Error PID;3,16; Integral;-57,5828;46,84; Wyjœcie PID;0
| Error PID;3,65; Integral;-53,9329;46,35; Wyjœcie PID;0
| Error PID;4,25; Integral;-49,683;45,75; Wyjœcie PID;0
| Error PID;4,61; Integral;-45,0731;45,39; Wyjœcie PID;0
| Error PID;4,61; Integral;-40,4732;45,39; Wyjœcie PID;0
| Error PID;5,08; Integral;-35,3933;44,92; Wyjœcie PID;0
| Error PID;5,32; Integral;-30,0734;44,68; Wyjœcie PID;0
| Error PID;5,66; Integral;-24,4035;44,34; Wyjœcie PID;0
| Error PID;6,24; Integral;-18,1636;43,76; Wyjœcie PID;0
| Error PID;6,7; Integral;-11,4737;43,3; Wyjœcie PID;0
| Error PID;6,7; Integral;-4,7738;43,3; Wyjœcie PID;0
| Error PID;7,15; Integral;2,3839;42,85; Wyjœcie PID;26,67
| Error PID;7,37; Integral;9,764;42,63; Wyjœcie PID;63,76
| Error PID;7,6; Integral;17,3641;42,4; Wyjœcie PID;102,2
| Error PID;8,04; Integral;25,4042;41,96; Wyjœcie PID;143,53
| Error PID;8,59; Integral;33,9943;41,41; Wyjœcie PID;187,7
| Error PID;8,81; Integral;42,8044;41,19; Wyjœcie PID;231,86
| Error PID;8,92; Integral;51,7245;41,08; Wyjœcie PID;255
| Error PID;9,03; Integral;60,7546;40,97; Wyjœcie PID;255
| Error PID;9,35; Integral;70,1047;40,65; Wyjœcie PID;255
| Error PID;9,57; Integral;79,6748;40,43; Wyjœcie PID;255
| Error PID;9,35; Integral;89,0349;40,65; Wyjœcie PID;255
| Error PID;9,35; Integral;98,385;40,65; Wyjœcie PID;255
| Error PID;9,46; Integral;107,8451;40,54; Wyjœcie PID;255
| Error PID;9,57; Integral;117,4152;40,43; Wyjœcie PID;255
| Error PID;9,24; Integral;126,6553;40,76; Wyjœcie PID;255
| Error PID;9,14; Integral;135,7954;40,86; Wyjœcie PID;255
| Error PID;9,24; Integral;145,0355;40,76; Wyjœcie PID;255
| Error PID;9,03; Integral;154,0656;40,97; Wyjœcie PID;255
| Error PID;8,81; Integral;162,8757;41,19; Wyjœcie PID;255
| Error PID;8,7; Integral;171,5858;41,3; Wyjœcie PID;255
| Error PID;8,81; Integral;180,3959;41,19; Wyjœcie PID;255
| Error PID;8,48; Integral;188,876;41,52; Wyjœcie PID;255
| Error PID;8,26; Integral;197,1361;41,74; Wyjœcie PID;255
| Error PID;8,26; Integral;205,4062;41,74; Wyjœcie PID;255
| Error PID;8,15; Integral;213,5563;41,85; Wyjœcie PID;255
| Error PID;7,82; Integral;221,3764;42,18; Wyjœcie PID;255
| Error PID;7,71; Integral;229,0865;42,29; Wyjœcie PID;255
| Error PID;7,6; Integral;236,6866;42,4; Wyjœcie PID;255
| Error PID;7,37; Integral;244,0567;42,63; Wyjœcie PID;255
| Error PID;7,15; Integral;251,2068;42,85; Wyjœcie PID;255
| Error PID;7,04; Integral;258,2469;42,96; Wyjœcie PID;255
| Error PID;7,04; Integral;265,287;42,96; Wyjœcie PID;255
| Error PID;6,7; Integral;271,9871;43,3; Wyjœcie PID;255
| Error PID;6,58; Integral;278,5672;43,42; Wyjœcie PID;255
| Error PID;6,47; Integral;285,0373;43,53; Wyjœcie PID;255
| Error PID;6,36; Integral;291,3974;43,64; Wyjœcie PID;255
| Error PID;6,13; Integral;297,5275;43,87; Wyjœcie PID;255
| Error PID;6,01; Integral;303,5376;43,99; Wyjœcie PID;255
| Error PID;6,01; Integral;309,5477;43,99; Wyjœcie PID;255
| Error PID;5,66; Integral;315,2078;44,34; Wyjœcie PID;255
| Error PID;5,43; Integral;320,6479;44,57; Wyjœcie PID;255
| Error PID;5,43; Integral;326,078;44,57; Wyjœcie PID;255
| Error PID;5,43; Integral;331,5081;44,57; Wyjœcie PID;255
| Error PID;5,08; Integral;336,5882;44,92; Wyjœcie PID;255
| Error PID;4,96; Integral;341,5483;45,04; Wyjœcie PID;255
| Error PID;4,85; Integral;346,3984;45,15; Wyjœcie PID;255
| Error PID;4,73; Integral;351,1285;45,27; Wyjœcie PID;255
| Error PID;4,37; Integral;355,4986;45,63; Wyjœcie PID;255
| Error PID;4,25; Integral;359,7487;45,75; Wyjœcie PID;255
| Error PID;4,37; Integral;364,1188;45,63; Wyjœcie PID;255
| Error PID;4,01; Integral;368,1289;45,99; Wyjœcie PID;255
| Error PID;3,77; Integral;371,899;46,23; Wyjœcie PID;255
| Error PID;3,77; Integral;375,6691;46,23; Wyjœcie PID;255
| Error PID;3,77; Integral;379,4392;46,23; Wyjœcie PID;255
| Error PID;3,28; Integral;382,7293;46,72; Wyjœcie PID;255
| Error PID;3,28; Integral;386,0094;46,72; Wyjœcie PID;255
| Error PID;3,28; Integral;389,2995;46,72; Wyjœcie PID;255
| Error PID;3,04; Integral;392,3396;46,96; Wyjœcie PID;255
| Error PID;2,79; Integral;395,1297;47,21; Wyjœcie PID;255
| Error PID;2,67; Integral;397,7998;47,33; Wyjœcie PID;255
| Error PID;2,79; Integral;400,5899;47,21; Wyjœcie PID;255
| Error PID;2,42; Integral;403,001;47,58; Wyjœcie PID;255
| Error PID;2,17; Integral;405,17101;47,83; Wyjœcie PID;255
| Error PID;2,42; Integral;407,59102;47,58; Wyjœcie PID;255
| Error PID;2,05; Integral;409,64103;47,95; Wyjœcie PID;255
| Error PID;1,67; Integral;411,31104;48,33; Wyjœcie PID;255
| Error PID;1,79; Integral;413,10105;48,21; Wyjœcie PID;255
| Error PID;1,67; Integral;414,77106;48,33; Wyjœcie PID;255
| Error PID;1,29; Integral;416,05107;48,71; Wyjœcie PID;255
| Error PID;1,29; Integral;417,34108;48,71; Wyjœcie PID;255
| Error PID;1,29; Integral;418,62109;48,71; Wyjœcie PID;255
| Error PID;0,9; Integral;419,5211;49,1; Wyjœcie PID;255
| Error PID;0,77; Integral;420,29111;49,23; Wyjœcie PID;255
| Error PID;0,9; Integral;421,19112;49,1; Wyjœcie PID;255
| Error PID;0,38; Integral;421,58113;49,62; Wyjœcie PID;255
| Error PID;0,38; Integral;421,96114;49,62; Wyjœcie PID;255
| Error PID;0,38; Integral;422,34115;49,62; Wyjœcie PID;255
| Error PID;0,12; Integral;422,46116;49,88; Wyjœcie PID;255
| Error PID;-0,14; Integral;422,31117;50,14; Wyjœcie PID;255
| Error PID;-0,01; Integral;422,30118;50,01; Wyjœcie PID;255
| Error PID;-0,14; Integral;422,15119;50,14; Wyjœcie PID;255
| Error PID;-0,54; Integral;421,6112;50,54; Wyjœcie PID;255
| Error PID;-0,54; Integral;421,07121;50,54; Wyjœcie PID;255
| Error PID;-0,68; Integral;420,39122;50,68; Wyjœcie PID;255
| Error PID;-0,95; Integral;419,45123;50,95; Wyjœcie PID;255
| Error PID;-0,81; Integral;418,64124;50,81; Wyjœcie PID;255
| Error PID;-1,22; Integral;417,42125;51,22; Wyjœcie PID;255
| Error PID;-1,35; Integral;416,07126;51,35; Wyjœcie PID;255
| Error PID;-1,35; Integral;414,72127;51,35; Wyjœcie PID;255
| Error PID;-1,62; Integral;413,09128;51,62; Wyjœcie PID;255
| Error PID;-1,62; Integral;411,47129;51,62; Wyjœcie PID;255
| Error PID;-1,62; Integral;409,8413;51,62; Wyjœcie PID;255
| Error PID;-2,18; Integral;407,67131;52,18; Wyjœcie PID;255
| Error PID;-2,18; Integral;405,49132;52,18; Wyjœcie PID;255
| Error PID;-2,18; Integral;403,31133;52,18; Wyjœcie PID;255
| Error PID;-2,46; Integral;400,86134;52,46; Wyjœcie PID;255
| Error PID;-2,46; Integral;398,40135;52,46; Wyjœcie PID;255
| Error PID;-2,6; Integral;395,81136;52,6; Wyjœcie PID;255
| Error PID;-3,02; Integral;392,79137;53,02; Wyjœcie PID;255
| Error PID;-2,88; Integral;389,91138;52,88; Wyjœcie PID;255
| Error PID;-3,02; Integral;386,89139;53,02; Wyjœcie PID;255
| Error PID;-3,3; Integral;383,5914;53,3; Wyjœcie PID;255
| Error PID;-3,16; Integral;380,43141;53,16; Wyjœcie PID;255
| Error PID;-3,45; Integral;376,98142;53,45; Wyjœcie PID;255
| Error PID;-3,73; Integral;373,25143;53,73; Wyjœcie PID;255
| Error PID;-3,59; Integral;369,66144;53,59; Wyjœcie PID;255
| Error PID;-3,88; Integral;365,78145;53,88; Wyjœcie PID;255
| Error PID;-4,02; Integral;361,76146;54,02; Wyjœcie PID;255
| Error PID;-4,02; Integral;357,73147;54,02; Wyjœcie PID;255
| Error PID;-4,32; Integral;353,42148;54,32; Wyjœcie PID;255
| Error PID;-4,46; Integral;348,95149;54,46; Wyjœcie PID;255
| Error PID;-4,32; Integral;344,6415;54,32; Wyjœcie PID;255
| Error PID;-4,61; Integral;340,03151;54,61; Wyjœcie PID;255
| Error PID;-4,76; Integral;335,27152;54,76; Wyjœcie PID;255
| Error PID;-4,76; Integral;330,51153;54,76; Wyjœcie PID;255
| Error PID;-5,2; Integral;325,31154;55,2; Wyjœcie PID;255
| Error PID;-5,2; Integral;320,10155;55,2; Wyjœcie PID;255
| Error PID;-5,06; Integral;315,05156;55,06; Wyjœcie PID;255
| Error PID;-5,66; Integral;309,39157;55,66; Wyjœcie PID;255
| Error PID;-5,51; Integral;303,88158;55,51; Wyjœcie PID;255
| Error PID;-5,51; Integral;298,38159;55,51; Wyjœcie PID;255
| Error PID;-5,96; Integral;292,4216;55,96; Wyjœcie PID;255
